req_no	thread_id	answer_title	answer_author	work_id	work_title	work_author	readinglog_count	first_publish_year
190	19162352	The Secrets of Top Students: Tips, Tools, and Techniques for Acing High School and College	Stefanie Weisman	https://openlibrary.org/works/OL19962229W	The secrets of top students	Stefanie Weisman	4	2013.0
191	19178670	Pulling Your Own Strings	Wayne Dyer	https://openlibrary.org/works/OL31992194W	Pulling Your Own Strings		0	
193	19185737	We are a Muslim, Please	Zaiba Malik	https://openlibrary.org/works/OL16019725W	We are a Muslim, please	Zaiba Malik	1	2010.0
194	19200532	New York Diaries: 1609 to 2009	Teresa Carpenter (Editor)	https://openlibrary.org/works/OL17566709W	New York Diaries, 1609 to 2009	Teresa Carpenter	1	2012.0
195	19212691	If I Can't Have You: Susan Powell, Her Mysterious Disappearance, and the Murder of Her Children	Gregg Olsen and Rebecca Morris	https://openlibrary.org/works/OL19976687W	If I can't have you	Gregg Olsen	19	2014.0
196	19226511	Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars	Nathalia Holt	https://openlibrary.org/works/OL17762161W	Rise of the Rocket Girls	Nathalia Holt; Nathalia Holt	24	2016.0
197	19229553	Grandpa's Mountain		https://openlibrary.org/works/OL1906338W	Grandpa's mountain	Carolyn Reeder	1	1991.0
198	19249185	Marty McGuire Digs Worms!	Kate Messner	https://openlibrary.org/works/OL15980211W	Marty McGuire digs worms!	Kate Messner	1	2012.0
199	19260642	Janson Directive		https://openlibrary.org/works/OL2664899W	The Janson directive	Robert Ludlum	13	2002.0
200	19260643	Children of Time	Deborah Moulton				0	
201	19261571	Winning Through Intimidation	Robert J. Ringer	https://openlibrary.org/works/OL2044942W	Winning through intimidation	Robert J. Ringer	20	1974.0
202	19262156	The Best		https://openlibrary.org/works/OL14862662W	A dictionary of the English language	Samuel Johnson	158	1747.0
203	19275367	With Charity for All: The Terrible Truth of Charitable Failure		https://openlibrary.org/works/OL16726842W	With charity for all	Ken Stern	0	2013.0
204	19299775	Everything I Ate: A Year in the Life of My Mouth	Tucker Shaw	https://openlibrary.org/works/OL5817332W	Everything I ate	Tucker Shaw	2	2005.0
205	19300946	Mirage	Soheir Khashoggi	https://openlibrary.org/works/OL2973942W	Mirage	Soheir Khashoggi	4	1996.0
206	19304515	A Wolf at the Table: A Memoir of My Father	Augusten Burroughs	https://openlibrary.org/works/OL41904910W	A Wolf at the Table	Augusten Burroughs	0	2009.0
207	19308095	The Suspicions of Mr. Whicher: A Shocking Murder and the Undoing of a Great Victorian Detective	Kate Summerscale	https://openlibrary.org/works/OL18180087W	The suspicions of Mr. Whicher	Kate Summerscale	6	2009.0
